,lat,long,gridX,gridY,grid
"1913 CAMPBELL AVE, Port Coquitlam, BC, Canada",49.2427191,-122.7695678,3,2,"[3,2]"
"1940 HOMFELD PL, Port Coquitlam, BC, Canada",49.251945,-122.7679592,4,4,"[4,4]"
"1748 PITT RIVER RD, Port Coquitlam, BC, Canada",49.2479166,-122.7724401,3,3,"[3,3]"
"1837 LANGAN AVE, Port Coquitlam, BC, Canada",49.250431,-122.76778,4,3,"[4,3]"
"1685 PITT RIVER RD, Port Coquitlam, BC, Canada",49.24724399999999,-122.7721876,3,3,"[3,3]"
"1924 WARWICK AVE, Port Coquitlam, BC, Canada",49.2508558,-122.7705814,3,3,"[3,3]"
"1631 MAGELLAN ST, Port Coquitlam, BC, Canada",49.2457059,-122.7703411,3,3,"[3,3]"
"1966 WADDELL AVE, Port Coquitlam, BC, Canada",49.2463598,-122.7713479,3,3,"[3,3]"
"1881 PITT RIVER RD, Port Coquitlam, BC, Canada",49.25083,-122.7719079,3,3,"[3,3]"
"1752 PEKRUL PL, Port Coquitlam, BC, Canada",49.2483069,-122.764588,4,3,"[4,3]"
"1743 ANDERSON WAY, Port Coquitlam, BC, Canada",49.2519067,-122.7644177,4,4,"[4,4]"
"1769 PITT RIVER RD, Port Coquitlam, BC, Canada",49.248663,-122.771505,3,3,"[3,3]"
"1822 LANGAN AVE, Port Coquitlam, BC, Canada",49.2498747,-122.7671236,4,3,"[4,3]"
"1761 LANGAN AVE, Port Coquitlam, BC, Canada",49.2504179,-122.7654167,4,3,"[4,3]"
"1967 CAMERON AVE, Port Coquitlam, BC, Canada",49.248439,-122.77084,3,3,"[3,3]"
"1945 LANGAN AVE, Port Coquitlam, BC, Canada",49.2504122,-122.7703992,3,3,"[3,3]"
"1971 LANGAN AVE, Port Coquitlam, BC, Canada",49.25047499999999,-122.77125,3,3,"[3,3]"
"1635 TAYLOR ST, Port Coquitlam, BC, Canada",49.2455612,-122.7688606,4,3,"[4,3]"
